Timestamp,Source_IP,Destination_IP,ICMPv6_Code,Version,Rank
"Jan 22, 2019 09:48:39.135000000 IST",fe80::c30c:0:0:8,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.143000000 IST",fe80::c30c:0:0:8,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.152000000 IST",fe80::c30c:0:0:8,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.166000000 IST",fe80::c30c:0:0:8,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.180000000 IST",fe80::c30c:0:0:8,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.190000000 IST",fe80::c30c:0:0:8,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.200000000 IST",fe80::c30c:0:0:8,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.208000000 IST",fe80::c30c:0:0:8,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.213000000 IST",fe80::c30c:0:0:8,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.221000000 IST",fe80::c30c:0:0:8,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.226000000 IST",fe80::c30c:0:0:8,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.231000000 IST",fe80::c30c:0:0:8,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.236000000 IST",fe80::c30c:0:0:8,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.243000000 IST",fe80::c30c:0:0:8,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.249000000 IST",fe80::c30c:0:0:8,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.256000000 IST",fe80::c30c:0:0:8,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.261000000 IST",fe80::c30c:0:0:8,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.266000000 IST",fe80::c30c:0:0:8,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.270000000 IST",fe80::c30c:0:0:8,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.276000000 IST",fe80::c30c:0:0:8,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.282000000 IST",fe80::c30c:0:0:8,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.289000000 IST",fe80::c30c:0:0:8,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.299000000 IST",fe80::c30c:0:0:8,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.308000000 IST",fe80::c30c:0:0:8,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.315000000 IST",fe80::c30c:0:0:8,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.322000000 IST",fe80::c30c:0:0:8,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.332000000 IST",fe80::c30c:0:0:8,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.341000000 IST",fe80::c30c:0:0:8,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.346000000 IST",fe80::c30c:0:0:8,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.351000000 IST",fe80::c30c:0:0:8,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.356000000 IST",fe80::c30c:0:0:8,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.361000000 IST",fe80::c30c:0:0:8,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.367000000 IST",fe80::c30c:0:0:8,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.374000000 IST",fe80::c30c:0:0:8,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.379000000 IST",fe80::c30c:0:0:8,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.384000000 IST",fe80::c30c:0:0:8,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.389000000 IST",fe80::c30c:0:0:8,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.396000000 IST",fe80::c30c:0:0:8,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.402000000 IST",fe80::c30c:0:0:8,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.440000000 IST",fe80::c30c:0:0:9,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.444000000 IST",fe80::c30c:0:0:9,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.447000000 IST",fe80::c30c:0:0:9,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.450000000 IST",fe80::c30c:0:0:9,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.452000000 IST",fe80::c30c:0:0:9,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.456000000 IST",fe80::c30c:0:0:9,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.461000000 IST",fe80::c30c:0:0:9,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.471000000 IST",fe80::c30c:0:0:9,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.503000000 IST",fe80::c30c:0:0:9,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.520000000 IST",fe80::c30c:0:0:9,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.528000000 IST",fe80::c30c:0:0:9,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.534000000 IST",fe80::c30c:0:0:9,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.536000000 IST",fe80::c30c:0:0:2,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.544000000 IST",fe80::c30c:0:0:9,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.546000000 IST",fe80::c30c:0:0:2,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.554000000 IST",fe80::c30c:0:0:9,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.556000000 IST",fe80::c30c:0:0:2,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.562000000 IST",fe80::c30c:0:0:9,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.564000000 IST",fe80::c30c:0:0:2,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.570000000 IST",fe80::c30c:0:0:9,ff02::1a,0,-,-
"Jan 22, 2019 09:48:39.572000000 IST",fe80::c30c:0:0:2,ff02::1a,0,-,-
